"purchase_date","total_price","promo_code","price_after_promo"
"2022-07-21","75000.00","GRATIS_ONGKIR","70000.00"
"2022-07-15","117000.00","GRATIS_ONGKIR","112000.00"
"2022-07-10","440000.00","GRATIS_ONGKIR","435000.00"
"2022-07-28","299999.00","GRATIS_ONGKIR","294999.00"
"2022-07-27","360000.00","GRATIS_ONGKIR","355000.00"
"2022-07-29","538850.00","GRATIS_ONGKIR","533850.00"
"2022-07-09","116000.00","GRATIS_ONGKIR","111000.00"
"2022-07-05","119600.00","GRATIS_ONGKIR","114600.00"
"2022-07-14","188000.00","GRATIS_ONGKIR","183000.00"
"2022-07-19","32000.00","GRATIS_ONGKIR","27000.00"
"2022-07-20","149600.00","GRATIS_ONGKIR","144600.00"
"2022-07-08","110000.00","GRATIS_ONGKIR","105000.00"
"2022-07-12","55000.00","GRATIS_ONGKIR","50000.00"
"2022-07-20","260000.00","GRATIS_ONGKIR","255000.00"
"2022-07-11","68888.00","GRATIS_ONGKIR","63888.00"
"2022-07-06","162500.00","GRATIS_ONGKIR","157500.00"
"2022-07-06","25500.00","GRATIS_ONGKIR","20500.00"
"2022-07-24","130000.00","GRATIS_ONGKIR","125000.00"
"2022-07-09","120000.00","GRATIS_ONGKIR","115000.00"
"2022-07-07","142000.00","GRATIS_ONGKIR","137000.00"
"2022-07-02","239700.00","GRATIS_ONGKIR","234700.00"
"2022-07-11","124900.00","GRATIS_ONGKIR","119900.00"
"2022-07-01","192000.00","AWAL_GAJIAN","177000.00"
"2022-07-13","50000.00","GRATIS_ONGKIR","45000.00"
"2022-07-25","299700.00","GRATIS_ONGKIR","294700.00"
"2022-07-25","27000.00","GRATIS_ONGKIR","22000.00"
"2022-07-15","168750.00","GRATIS_ONGKIR","163750.00"
"2022-07-07","189000.00","GRATIS_ONGKIR","184000.00"
"2022-07-09","68000.00","GRATIS_ONGKIR","63000.00"
"2022-07-03","101000.00","GRATIS_ONGKIR","96000.00"
"2022-07-15","390000.00","GRATIS_ONGKIR","385000.00"
"2022-07-29","238000.00","GRATIS_ONGKIR","233000.00"
"2022-07-08","25260.00","GRATIS_ONGKIR","20260.00"
"2022-07-11","124800.00","GRATIS_ONGKIR","119800.00"
"2022-07-14","105000.00","GRATIS_ONGKIR","100000.00"
"2022-07-03","465000.00","GRATIS_ONGKIR","460000.00"
"2022-07-13","17400.00","GRATIS_ONGKIR","12400.00"
"2022-07-14","299800.00","GRATIS_ONGKIR","294800.00"
"2022-07-25","69000.00","GRATIS_ONGKIR","64000.00"
"2022-07-28","149900.00","GRATIS_ONGKIR","144900.00"
"2022-07-17","405000.00","GRATIS_ONGKIR","400000.00"
"2022-07-26","672000.00","GRATIS_ONGKIR","667000.00"
"2022-07-18","125000.00","GRATIS_ONGKIR","120000.00"
"2022-07-28","89700.00","GRATIS_ONGKIR","84700.00"
"2022-07-06","69642.00","GRATIS_ONGKIR","64642.00"
"2022-07-02","27600.00","GRATIS_ONGKIR","22600.00"
"2022-07-21","239400.00","GRATIS_ONGKIR","234400.00"
"2022-07-16","181500.00","GRATIS_ONGKIR","176500.00"
"2022-07-20","114000.00","GRATIS_ONGKIR","109000.00"
"2022-07-17","89000.00","GRATIS_ONGKIR","84000.00"
"2022-07-01","100029.00","AWAL_GAJIAN","85029.00"
"2022-07-01","159000.00","GRATIS_ONGKIR","154000.00"
"2022-07-29","507000.00","GRATIS_ONGKIR","502000.00"
"2022-07-21","145000.00","GRATIS_ONGKIR","140000.00"
"2022-07-25","360000.00","GRATIS_ONGKIR","355000.00"
"2022-07-04","3340.00","GRATIS_ONGKIR","-1660.00"
"2022-07-29","347997.00","GRATIS_ONGKIR","342997.00"
"2022-07-13","59000.00","GRATIS_ONGKIR","54000.00"
"2022-07-10","415000.00","GRATIS_ONGKIR","410000.00"
"2022-07-12","159000.00","GRATIS_ONGKIR","154000.00"
"2022-07-24","550000.00","GRATIS_ONGKIR","545000.00"
"2022-07-01","154440.00","GRATIS_ONGKIR","149440.00"
"2022-07-11","808275.00","GRATIS_ONGKIR","803275.00"
"2022-07-06","25260.00","GRATIS_ONGKIR","20260.00"
"2022-07-22","318000.00","GRATIS_ONGKIR","313000.00"
"2022-07-25","26888.00","GRATIS_ONGKIR","21888.00"
"2022-07-03","370000.00","GRATIS_ONGKIR","365000.00"
"2022-07-13","131120.00","GRATIS_ONGKIR","126120.00"
"2022-07-27","53000.00","GRATIS_ONGKIR","48000.00"
"2022-07-09","169000.00","GRATIS_ONGKIR","164000.00"
"2022-07-26","270580.00","GRATIS_ONGKIR","265580.00"
"2022-07-10","156000.00","GRATIS_ONGKIR","151000.00"
"2022-07-25","62400.00","GRATIS_ONGKIR","57400.00"
"2022-07-15","51580.00","GRATIS_ONGKIR","46580.00"
"2022-07-29","267000.00","GRATIS_ONGKIR","262000.00"
"2022-07-01","104000.00","GRATIS_ONGKIR","99000.00"
"2022-07-14","178000.00","GRATIS_ONGKIR","173000.00"
"2022-07-23","205000.00","GRATIS_ONGKIR","200000.00"
"2022-07-02","69000.00","GRATIS_ONGKIR","64000.00"
"2022-07-01","14997000.00","AWAL_GAJIAN","14982000.00"
"2022-07-04","1050.00","GRATIS_ONGKIR","-3950.00"
"2022-07-21","217500.00","GRATIS_ONGKIR","212500.00"
"2022-07-04","130000.00","GRATIS_ONGKIR","125000.00"
"2022-07-07","99000.00","GRATIS_ONGKIR","94000.00"
"2022-07-16","462000.00","GRATIS_ONGKIR","457000.00"
"2022-07-13","337500.00","GRATIS_ONGKIR","332500.00"
"2022-07-08","338000.00","GRATIS_ONGKIR","333000.00"
"2022-07-19","198000.00","GRATIS_ONGKIR","193000.00"
"2022-07-26","591700.00","GRATIS_ONGKIR","586700.00"
"2022-07-07","129500.00","GRATIS_ONGKIR","124500.00"
"2022-07-14","98750.00","GRATIS_ONGKIR","93750.00"
"2022-07-02","39000.00","GRATIS_ONGKIR","34000.00"
"2022-07-18","1437000.00","GRATIS_ONGKIR","1432000.00"
"2022-07-15","22900.00","GRATIS_ONGKIR","17900.00"
"2022-07-25","151500.00","GRATIS_ONGKIR","146500.00"
"2022-07-21","130000.00","GRATIS_ONGKIR","125000.00"
"2022-07-20","50520.00","GRATIS_ONGKIR","45520.00"
"2022-07-15","280000.00","GRATIS_ONGKIR","275000.00"
"2022-07-18","393360.00","GRATIS_ONGKIR","388360.00"
"2022-07-11","569700.00","GRATIS_ONGKIR","564700.00"
"2022-07-18","125000.00","GRATIS_ONGKIR","120000.00"
"2022-07-27","1575.00","GRATIS_ONGKIR","-3425.00"
"2022-07-02","338000.00","GRATIS_ONGKIR","333000.00"
"2022-07-23","150000.00","GRATIS_ONGKIR","145000.00"
"2022-07-14","73500.00","GRATIS_ONGKIR","68500.00"
"2022-07-10","64000.00","GRATIS_ONGKIR","59000.00"
"2022-07-06","157500.00","GRATIS_ONGKIR","152500.00"
"2022-07-12","35200.00","GRATIS_ONGKIR","30200.00"
"2022-07-18","128040.00","GRATIS_ONGKIR","123040.00"
"2022-07-14","399800.00","GRATIS_ONGKIR","394800.00"
"2022-07-12","471750.00","GRATIS_ONGKIR","466750.00"
"2022-07-10","208000.00","GRATIS_ONGKIR","203000.00"
"2022-07-24","99000.00","GRATIS_ONGKIR","94000.00"
"2022-07-28","1320000.00","GRATIS_ONGKIR","1315000.00"
"2022-07-23","69900.00","GRATIS_ONGKIR","64900.00"
"2022-07-07","296907.00","GRATIS_ONGKIR","291907.00"
"2022-07-22","150000.00","GRATIS_ONGKIR","145000.00"
"2022-07-17","86000.00","GRATIS_ONGKIR","81000.00"
"2022-07-11","135290.00","GRATIS_ONGKIR","130290.00"
"2022-07-17","178000.00","GRATIS_ONGKIR","173000.00"
"2022-07-15","112000.00","GRATIS_ONGKIR","107000.00"
"2022-07-05","159800.00","GRATIS_ONGKIR","154800.00"
"2022-07-22","66000.00","GRATIS_ONGKIR","61000.00"
"2022-07-11","157500.00","GRATIS_ONGKIR","152500.00"
"2022-07-26","110000.00","GRATIS_ONGKIR","105000.00"
"2022-07-07","75000.00","GRATIS_ONGKIR","70000.00"
"2022-07-30","2250000.00","GRATIS_ONGKIR","2245000.00"
"2022-07-29","478800.00","GRATIS_ONGKIR","473800.00"
"2022-07-03","1670.00","GRATIS_ONGKIR","-3330.00"
"2022-07-01","315000.00","AWAL_GAJIAN","300000.00"
"2022-07-24","76800.00","GRATIS_ONGKIR","71800.00"
"2022-07-30","48450.00","GRATIS_ONGKIR","43450.00"
"2022-07-04","555000.00","GRATIS_ONGKIR","550000.00"
"2022-07-09","30999.00","GRATIS_ONGKIR","25999.00"
"2022-07-22","465000.00","GRATIS_ONGKIR","460000.00"
"2022-07-15","2920000.00","GRATIS_ONGKIR","2915000.00"
"2022-07-14","49800.00","GRATIS_ONGKIR","44800.00"
"2022-07-07","231750.00","GRATIS_ONGKIR","226750.00"
"2022-07-21","107728.00","GRATIS_ONGKIR","102728.00"
"2022-07-04","253935.00","GRATIS_ONGKIR","248935.00"
"2022-07-26","5491530.00","GRATIS_ONGKIR","5486530.00"
"2022-07-06","179997.00","GRATIS_ONGKIR","174997.00"
"2022-07-17","70000.00","GRATIS_ONGKIR","65000.00"
"2022-07-13","370000.00","GRATIS_ONGKIR","365000.00"
"2022-07-15","154500.00","GRATIS_ONGKIR","149500.00"
"2022-07-10","94500.00","GRATIS_ONGKIR","89500.00"
"2022-07-07","145360.00","GRATIS_ONGKIR","140360.00"
"2022-07-02","46400.00","GRATIS_ONGKIR","41400.00"
"2022-07-08","550000.00","GRATIS_ONGKIR","545000.00"
"2022-07-09","290982.00","GRATIS_ONGKIR","285982.00"
"2022-07-19","39800.00","GRATIS_ONGKIR","34800.00"
"2022-07-25","465000.00","GRATIS_ONGKIR","460000.00"
"2022-07-16","110000.00","GRATIS_ONGKIR","105000.00"
"2022-07-21","300000.00","GRATIS_ONGKIR","295000.00"
"2022-07-01","144000.00","GRATIS_ONGKIR","139000.00"
"2022-07-10","750000.00","GRATIS_ONGKIR","745000.00"
"2022-07-01","9998000.00","GRATIS_ONGKIR","9993000.00"
"2022-07-11","186000.00","GRATIS_ONGKIR","181000.00"
"2022-07-25","240000.00","GRATIS_ONGKIR","235000.00"
"2022-07-20","220000.00","GRATIS_ONGKIR","215000.00"
"2022-07-23","525.00","GRATIS_ONGKIR","-4475.00"
"2022-07-17","1350.00","GRATIS_ONGKIR","-3650.00"
"2022-07-01","231000.00","AWAL_GAJIAN","216000.00"
"2022-07-24","1058000.00","GRATIS_ONGKIR","1053000.00"
"2022-07-09","56900.00","GRATIS_ONGKIR","51900.00"
"2022-07-27","192060.00","GRATIS_ONGKIR","187060.00"
"2022-07-14","506250.00","GRATIS_ONGKIR","501250.00"
"2022-07-28","197500.00","GRATIS_ONGKIR","192500.00"
"2022-07-15","680000.00","GRATIS_ONGKIR","675000.00"
"2022-07-29","162360.00","GRATIS_ONGKIR","157360.00"
"2022-07-18","74000.00","GRATIS_ONGKIR","69000.00"
"2022-07-05","164700.00","GRATIS_ONGKIR","159700.00"
"2022-07-25","63000.00","GRATIS_ONGKIR","58000.00"
"2022-07-25","285000.00","GRATIS_ONGKIR","280000.00"
"2022-07-11","110000.00","GRATIS_ONGKIR","105000.00"
"2022-07-22","159000.00","GRATIS_ONGKIR","154000.00"
"2022-07-13","101000.00","GRATIS_ONGKIR","96000.00"
"2022-07-11","387600.00","GRATIS_ONGKIR","382600.00"
"2022-07-23","435000.00","GRATIS_ONGKIR","430000.00"
"2022-07-07","198000.00","GRATIS_ONGKIR","193000.00"
"2022-07-01","387810.00","AWAL_GAJIAN","372810.00"
"2022-07-12","300000.00","GRATIS_ONGKIR","295000.00"
"2022-07-25","48000.00","GRATIS_ONGKIR","43000.00"
"2022-07-06","4977000.00","GRATIS_ONGKIR","4972000.00"
"2022-07-26","1497000.00","GRATIS_ONGKIR","1492000.00"
"2022-07-14","3700.00","GRATIS_ONGKIR","-1300.00"
"2022-07-02","420000.00","GRATIS_ONGKIR","415000.00"
"2022-07-09","3980000.00","GRATIS_ONGKIR","3975000.00"
"2022-07-26","59900.00","GRATIS_ONGKIR","54900.00"
"2022-07-19","507000.00","GRATIS_ONGKIR","502000.00"
"2022-07-09","716000.00","GRATIS_ONGKIR","711000.00"
"2022-07-17","129900.00","GRATIS_ONGKIR","124900.00"
"2022-07-02","38000.00","GRATIS_ONGKIR","33000.00"
"2022-07-28","33000.00","GRATIS_ONGKIR","28000.00"
"2022-07-26","109000.00","GRATIS_ONGKIR","104000.00"
"2022-07-05","13135.00","GRATIS_ONGKIR","8135.00"
"2022-07-05","110000.00","GRATIS_ONGKIR","105000.00"
"2022-07-17","958000.00","GRATIS_ONGKIR","953000.00"
"2022-07-03","1245000.00","GRATIS_ONGKIR","1240000.00"
"2022-07-12","399998.00","GRATIS_ONGKIR","394998.00"
"2022-07-28","578700.00","GRATIS_ONGKIR","573700.00"
"2022-07-22","225000.00","GRATIS_ONGKIR","220000.00"
"2022-07-17","199900.00","GRATIS_ONGKIR","194900.00"
"2022-07-22","318000.00","GRATIS_ONGKIR","313000.00"
"2022-07-29","187960.00","GRATIS_ONGKIR","182960.00"
"2022-07-21","50000.00","GRATIS_ONGKIR","45000.00"
"2022-07-08","26000.00","GRATIS_ONGKIR","21000.00"
"2022-07-07","55365.00","GRATIS_ONGKIR","50365.00"
"2022-07-13","1350.00","GRATIS_ONGKIR","-3650.00"
"2022-07-06","237000.00","GRATIS_ONGKIR","232000.00"
"2022-07-15","62000.00","GRATIS_ONGKIR","57000.00"
"2022-07-12","239850.00","GRATIS_ONGKIR","234850.00"
"2022-07-13","48000.00","GRATIS_ONGKIR","43000.00"
"2022-07-28","48450.00","GRATIS_ONGKIR","43450.00"
"2022-07-19","37500.00","GRATIS_ONGKIR","32500.00"
"2022-07-25","22500.00","GRATIS_ONGKIR","17500.00"
"2022-07-24","54815.00","GRATIS_ONGKIR","49815.00"
"2022-07-02","199000.00","GRATIS_ONGKIR","194000.00"
"2022-07-11","227700.00","GRATIS_ONGKIR","222700.00"
"2022-07-25","84000.00","GRATIS_ONGKIR","79000.00"
"2022-07-15","60000.00","GRATIS_ONGKIR","55000.00"
"2022-07-24","275000.00","GRATIS_ONGKIR","270000.00"
"2022-07-27","260000.00","GRATIS_ONGKIR","255000.00"
"2022-07-22","24250.00","GRATIS_ONGKIR","19250.00"
"2022-07-28","320000.00","GRATIS_ONGKIR","315000.00"
"2022-07-20","156000.00","GRATIS_ONGKIR","151000.00"
"2022-07-24","51200.00","GRATIS_ONGKIR","46200.00"
"2022-07-28","1587000.00","GRATIS_ONGKIR","1582000.00"
"2022-07-08","300000.00","GRATIS_ONGKIR","295000.00"
"2022-07-29","397500.00","GRATIS_ONGKIR","392500.00"
"2022-07-24","165500.00","GRATIS_ONGKIR","160500.00"
"2022-07-26","54900.00","GRATIS_ONGKIR","49900.00"
"2022-07-29","3550000.00","GRATIS_ONGKIR","3545000.00"
"2022-07-11","39800.00","GRATIS_ONGKIR","34800.00"
"2022-07-22","59900.00","GRATIS_ONGKIR","54900.00"
"2022-07-07","650000.00","GRATIS_ONGKIR","645000.00"
"2022-07-12","1415000.00","GRATIS_ONGKIR","1410000.00"
"2022-07-13","65500.00","GRATIS_ONGKIR","60500.00"
"2022-07-23","4950060.00","GRATIS_ONGKIR","4945060.00"
"2022-07-29","85320.00","GRATIS_ONGKIR","80320.00"
"2022-07-12","128000.00","GRATIS_ONGKIR","123000.00"
"2022-07-17","615000.00","GRATIS_ONGKIR","610000.00"
"2022-07-12","159000.00","GRATIS_ONGKIR","154000.00"
"2022-07-23","187200.00","GRATIS_ONGKIR","182200.00"
"2022-07-26","830000.00","GRATIS_ONGKIR","825000.00"
"2022-07-17","125000.00","GRATIS_ONGKIR","120000.00"
"2022-07-11","337500.00","GRATIS_ONGKIR","332500.00"
"2022-07-18","195000.00","GRATIS_ONGKIR","190000.00"
"2022-07-26","253935.00","GRATIS_ONGKIR","248935.00"
